sample,time_seconds,node20,node21,node22,node23,node24,node25,effect1,node30,node31,node32,node33,node34,node35,node36,node37,node38,node39,node40,effect2,node90
560,0.004666667,0.091641191,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.057752814,2.367681847,0.000000000,0.000000000,0.000000000,-0.008153826
561,0.004675000,0.091802288,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.057854973,2.367715452,0.000000000,0.000000000,0.000000000,-0.008152915
562,0.004683333,0.091963377,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.057957128,2.367749055,1.475931408,0.000000000,0.000000000,-0.008152005
563,0.004691667,0.092124457,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058059281,2.367782658,0.000000000,0.000000000,0.000000000,-0.008151094
564,0.004700000,0.092285530,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058161431,2.367816260,0.000000000,0.000000000,0.000000000,-0.008150184
565,0.004708333,0.092446595,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058263578,2.367849861,0.000000000,0.000000000,0.000000000,-0.008149273
566,0.004716667,0.092607652,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058365723,2.367883461,1.948696406,0.948696406,1.612783891,0.253399950
567,0.004725000,0.092768701,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058467864,2.367917061,0.000000000,1.000000000,1.700000000,0.267513628
568,0.004733333,0.092929742,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058570003,2.367950659,0.000000000,1.000000000,1.700000000,0.267481613
569,0.004741667,0.093090775,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058672139,2.367984256,1.375469481,1.000000000,1.700000000,0.267449602
570,0.004750000,0.093251800,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058774272,2.368017853,0.000000000,1.000000000,1.700000000,0.267417595
571,0.004758333,0.093412817,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058876403,2.368051448,0.000000000,1.000000000,1.700000000,0.267385591
572,0.004766667,0.093573826,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.058978530,2.368085043,0.000000000,1.000000000,1.700000000,0.267353590
573,0.004775000,0.093734827,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059080655,2.368118637,1.806395360,1.000000000,1.700000000,0.267321594
574,0.004783333,0.093895820,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059182777,2.368152229,0.000000000,1.000000000,1.700000000,0.267289601
575,0.004791667,0.094056805,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059284897,2.368185821,0.000000000,1.000000000,1.700000000,0.267257611
576,0.004800000,0.094217783,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059387013,2.368219412,1.272593826,1.000000000,1.700000000,0.267225625
577,0.004808333,0.094378752,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059489127,2.368253002,0.000000000,1.000000000,1.700000000,0.267193642
578,0.004816667,0.094539714,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059591238,2.368286591,0.000000000,1.000000000,1.700000000,0.267161664
579,0.004825000,0.094700667,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059693346,2.368320180,0.000000000,1.000000000,1.700000000,0.267129688
580,0.004833333,0.094861613,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059795451,2.368353767,1.680124873,1.000000000,1.700000000,0.267097717
581,0.004841667,0.095022550,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059897554,2.368387353,0.000000000,1.000000000,1.700000000,0.267065748
582,0.004850000,0.095183480,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.059999654,2.368420939,0.000000000,1.000000000,1.700000000,0.267033784
583,0.004858333,0.095344401,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060101751,2.368454523,1.192922898,1.000000000,1.700000000,0.267001823
584,0.004866667,0.095505315,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060203845,2.368488107,0.000000000,1.000000000,1.700000000,0.266969865
585,0.004875000,0.095666221,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060305936,2.368521690,0.000000000,1.000000000,1.700000000,0.266937911
586,0.004883333,0.095827119,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060408025,2.368555271,0.000000000,1.000000000,1.700000000,0.266905961
587,0.004891667,0.095988009,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060510111,2.368588852,1.593380451,1.000000000,1.700000000,0.266874014
588,0.004900000,0.096148891,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060612194,2.368622432,0.000000000,1.000000000,1.700000000,0.266842071
589,0.004908333,0.096309765,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060714274,2.368656011,0.000000000,1.000000000,1.700000000,0.266810132
590,0.004916667,0.096470631,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060816352,2.368689589,1.094232708,1.000000000,1.700000000,0.266778196
591,0.004925000,0.096631489,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.060918426,2.368723167,0.000000000,1.000000000,1.700000000,0.266746263
592,0.004933333,0.096792339,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061020498,2.368756743,0.000000000,1.000000000,1.700000000,0.266714334
593,0.004941667,0.096953181,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061122567,2.368790318,0.000000000,1.000000000,1.700000000,0.266682409
594,0.004950000,0.097114015,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061224634,2.368823893,1.497224658,0.502775342,0.854718081,0.129569468
595,0.004958333,0.097274842,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061326697,2.368857466,0.000000000,0.000000000,0.000000000,-0.009057378
596,0.004966667,0.097435660,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061428758,2.368891039,0.000000000,0.000000000,0.000000000,-0.009056366
597,0.004975000,0.097596471,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061530816,2.368924611,0.000000000,0.000000000,0.000000000,-0.009055355
598,0.004983333,0.097757273,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061632871,2.368958181,1.980047757,0.000000000,0.000000000,-0.009054343
599,0.004991667,0.097918068,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061734924,2.368991751,0.000000000,0.000000000,0.000000000,-0.009053332
600,0.005000000,0.098078854,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061836973,2.369025320,0.000000000,0.000000000,0.000000000,-0.009052320
601,0.005008333,0.098239633,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.061939020,2.369058888,1.399001595,0.000000000,0.000000000,-0.009051309
602,0.005016667,0.098400404,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062041064,2.369092455,0.000000000,0.000000000,0.000000000,-0.009050298
603,0.005025000,0.098561167,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062143105,2.369126022,0.000000000,0.000000000,0.000000000,-0.009049287
604,0.005033333,0.098721921,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062245144,2.369159587,0.000000000,0.000000000,0.000000000,-0.009048276
605,0.005041667,0.098882668,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062347180,2.369193151,1.836328639,0.000000000,0.000000000,-0.009047266
606,0.005050000,0.099043407,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062449213,2.369226715,0.000000000,0.000000000,0.000000000,-0.009046255
607,0.005058333,0.099204138,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062551243,2.369260277,0.000000000,0.000000000,0.000000000,-0.009045245
608,0.005066667,0.099364861,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062653270,2.369293839,1.291745377,0.000000000,0.000000000,-0.009044234
609,0.005075000,0.099525577,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062755294,2.369327400,0.000000000,0.000000000,0.000000000,-0.009043224
610,0.005083333,0.099686284,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062857316,2.369360959,0.000000000,0.000000000,0.000000000,-0.009042214
611,0.005091667,0.099846983,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.062959335,2.369394518,0.000000000,0.000000000,0.000000000,-0.009041204
612,0.005100000,0.100007674,0.000000000,0.000000000,3.400000000,0.000000000,0.000000000,0.000000000,0.000001010000,1.000000000,1.700000000,4.000000000,4.000000000,3.598425197,3.799212598,0.063061351,2.369428076,1.700859504,0.000000000,0.000000000,-0.009040194
