pc,count,frequency
0x0000,1,0.000000054468
0x0001,1,0.000000054468
0x0002,1,0.000000054468
0x0003,1,0.000000054468
0x0004,1,0.000000054468
0x0005,1,0.000000054468
0x0006,1,0.000000054468
0x0007,1,0.000000054468
0x0008,1,0.000000054468
0x000b,1,0.000000054468
0x000d,1,0.000000054468
0x000f,1,0.000000054468
0x0012,1,0.000000054468
0x0015,1,0.000000054468
0x0017,1,0.000000054468
0x001a,10624,0.000578666856
0x001d,10623,0.000578612388
0x0020,10623,0.000578612388
0x0021,10623,0.000578612388
0x0024,2037,0.000110951091
0x0027,2037,0.000110951091
0x002a,2037,0.000110951091
0x002d,8586,0.000467661298
0x002f,8586,0.000467661298
0x0031,8586,0.000467661298
0x0032,8586,0.000467661298
0x0034,8586,0.000467661298
0x0035,8586,0.000467661298
0x0038,8586,0.000467661298
0x0039,8586,0.000467661298
0x003c,8586,0.000467661298
0x003d,8586,0.000467661298
0x0040,7,0.000000381275
0x0043,7,0.000000381275
0x0046,8579,0.000467280022
0x0049,8579,0.000467280022
0x0050,1,0.000000054468
0x0052,1,0.000000054468
0x0054,1,0.000000054468
0x0056,1,0.000000054468
0x0058,1,0.000000054468
0x005a,1,0.000000054468
0x005c,1,0.000000054468
0x005f,1,0.000000054468
0x0061,1,0.000000054468
0x0063,1,0.000000054468
0x0066,1,0.000000054468
0x0068,1,0.000000054468
0x006a,1,0.000000054468
0x006b,2,0.000000108936
0x006e,2,0.000000108936
0x0070,6130,0.000333888161
0x0072,6130,0.000333888161
0x0073,6130,0.000333888161
0x0074,6130,0.000333888161
0x0077,2,0.000000108936
0x0078,576,0.000031373504
0x007b,576,0.000031373504
0x0080,1480943,0.080663839384
0x0082,1480942,0.080663784916
0x0083,1480942,0.080663784916
0x0085,1480942,0.080663784916
0x0088,21277,0.001158913281
0x0089,21277,0.001158913281
0x008b,21277,0.001158913281
0x008e,10651,0.000580137489
0x0090,10651,0.000580137489
0x0091,10651,0.000580137489
0x0094,10651,0.000580137489
0x0095,10651,0.000580137489
0x0096,10651,0.000580137489
0x0097,10651,0.000580137489
0x0098,10651,0.000580137489
0x009a,10651,0.000580137489
0x009d,10651,0.000580137489
0x009f,10651,0.000580137489
0x00a0,10651,0.000580137489
0x00a2,10651,0.000580137489
0x00a3,10651,0.000580137489
0x00a6,10651,0.000580137489
0x00a8,10651,0.000580137489
0x00ab,10651,0.000580137489
0x00ac,1,0.000000054468
0x00ae,1,0.000000054468
0x00af,1,0.000000054468
0x00b0,1,0.000000054468
0x00b2,1,0.000000054468
0x00b5,1,0.000000054468
0x00bb,18350,0.000999485769
0x00be,18350,0.000999485769
0x00bf,18350,0.000999485769
0x00c0,18350,0.000999485769
0x00c1,18350,0.000999485769
0x00c2,18350,0.000999485769
0x00c3,18350,0.000999485769
0x00c4,1544,0.000084098421
0x00c5,1544,0.000084098421
0x00c7,1544,0.000084098421
0x00c9,1544,0.000084098421
0x00ca,1544,0.000084098421
0x00cd,1544,0.000084098421
0x00ce,1544,0.000084098421
0x00cf,1544,0.000084098421
0x00d0,1544,0.000084098421
0x00d1,1544,0.000084098421
0x00d2,1544,0.000084098421
0x00d3,1544,0.000084098421
0x00d4,1544,0.000084098421
0x00d6,1544,0.000084098421
0x00d8,1544,0.000084098421
0x00d9,1544,0.000084098421
0x00dc,1544,0.000084098421
0x00dd,1544,0.000084098421
0x00de,1544,0.000084098421
0x00e1,524,0.000028541174
0x00e3,8579,0.000467280022
0x00e6,8579,0.000467280022
0x00e9,8579,0.000467280022
0x00ec,8579,0.000467280022
0x00ef,8579,0.000467280022
0x00f2,8576,0.000467116619
0x00f5,8576,0.000467116619
0x00f8,8576,0.000467116619
0x00fb,8576,0.000467116619
0x00fe,7988,0.000435089500
0x0101,7988,0.000435089500
0x0104,7988,0.000435089500
0x0107,7986,0.000434980564
0x0109,7986,0.000434980564
0x010c,7986,0.000434980564
0x010f,7984,0.000434871628
0x0111,7984,0.000434871628
0x0114,7984,0.000434871628
0x0117,7982,0.000434762692
0x0119,7982,0.000434762692
0x011c,7982,0.000434762692
0x011f,7982,0.000434762692
0x0122,7406,0.000403389188
0x0125,7406,0.000403389188
0x0128,7406,0.000403389188
0x012b,7406,0.000403389188
0x012e,7054,0.000384216491
0x0131,7054,0.000384216491
0x0134,7054,0.000384216491
0x0137,7054,0.000384216491
0x013a,486,0.000026471394
0x0140,14,0.000000762550
0x0143,14,0.000000762550
