pc,count,frequency
0x0000,1,0.000000054512
0x0001,1,0.000000054512
0x0002,1,0.000000054512
0x0003,1,0.000000054512
0x0004,1,0.000000054512
0x0005,1,0.000000054512
0x0006,1,0.000000054512
0x0007,1,0.000000054512
0x0008,1,0.000000054512
0x000b,1,0.000000054512
0x000d,1,0.000000054512
0x000f,1,0.000000054512
0x0012,1,0.000000054512
0x0015,1,0.000000054512
0x0017,1,0.000000054512
0x001a,10595,0.000577558251
0x001d,10594,0.000577503738
0x0020,10594,0.000577503738
0x0021,10594,0.000577503738
0x0024,2203,0.000120090687
0x0027,2203,0.000120090687
0x002a,2203,0.000120090687
0x002d,8391,0.000457413051
0x002f,8391,0.000457413051
0x0031,8391,0.000457413051
0x0032,8391,0.000457413051
0x0034,8391,0.000457413051
0x0035,8391,0.000457413051
0x0038,8391,0.000457413051
0x0039,8391,0.000457413051
0x003c,8391,0.000457413051
0x003d,8391,0.000457413051
0x0040,7,0.000000381586
0x0043,7,0.000000381586
0x0046,8384,0.000457031465
0x0049,8384,0.000457031465
0x0050,1,0.000000054512
0x0052,1,0.000000054512
0x0054,1,0.000000054512
0x0056,1,0.000000054512
0x0058,1,0.000000054512
0x005a,1,0.000000054512
0x005c,1,0.000000054512
0x005f,1,0.000000054512
0x0061,1,0.000000054512
0x0063,1,0.000000054512
0x0066,1,0.000000054512
0x0068,1,0.000000054512
0x006a,1,0.000000054512
0x006b,2,0.000000109025
0x006e,2,0.000000109025
0x0070,6130,0.000334160649
0x0072,6130,0.000334160649
0x0073,6130,0.000334160649
0x0074,6130,0.000334160649
0x0077,2,0.000000109025
0x0078,576,0.000031399108
0x007b,576,0.000031399108
0x0080,1433073,0.078120163733
0x0082,1433073,0.078120163733
0x0083,1433072,0.078120109221
0x0085,1433072,0.078120109221
0x0088,21216,0.001156533822
0x0089,21216,0.001156533822
0x008b,21216,0.001156533822
0x008e,10622,0.000579030084
0x0090,10622,0.000579030084
0x0091,10622,0.000579030084
0x0094,10622,0.000579030084
0x0095,10622,0.000579030084
0x0096,10622,0.000579030084
0x0097,10622,0.000579030084
0x0098,10622,0.000579030084
0x009a,10622,0.000579030084
0x009d,10622,0.000579030084
0x009f,10622,0.000579030084
0x00a0,10622,0.000579030084
0x00a2,10622,0.000579030084
0x00a3,10622,0.000579030084
0x00a6,10622,0.000579030084
0x00a8,10622,0.000579030084
0x00ab,10622,0.000579030084
0x00ac,1,0.000000054512
0x00ae,1,0.000000054512
0x00af,1,0.000000054512
0x00b0,1,0.000000054512
0x00b2,1,0.000000054512
0x00b5,1,0.000000054512
0x00bb,18344,0.000999974379
0x00be,18344,0.000999974379
0x00bf,18344,0.000999974379
0x00c0,18344,0.000999974379
0x00c1,18344,0.000999974379
0x00c2,18344,0.000999974379
0x00c3,18344,0.000999974379
0x00c4,1448,0.000078933869
0x00c5,1448,0.000078933869
0x00c7,1448,0.000078933869
0x00c9,1448,0.000078933869
0x00ca,1448,0.000078933869
0x00cd,1448,0.000078933869
0x00ce,1448,0.000078933869
0x00cf,1448,0.000078933869
0x00d0,1448,0.000078933869
0x00d1,1448,0.000078933869
0x00d2,1448,0.000078933869
0x00d3,1448,0.000078933869
0x00d4,1448,0.000078933869
0x00d6,1448,0.000078933869
0x00d8,1448,0.000078933869
0x00d9,1448,0.000078933869
0x00dc,1448,0.000078933869
0x00dd,1448,0.000078933869
0x00de,1448,0.000078933869
0x00e1,492,0.000026820072
0x00e3,8384,0.000457031465
0x00e6,8384,0.000457031465
0x00e9,8384,0.000457031465
0x00ec,8384,0.000457031465
0x00ef,8384,0.000457031465
0x00f2,8381,0.000456867928
0x00f5,8381,0.000456867928
0x00f8,8381,0.000456867928
0x00fb,8381,0.000456867928
0x00fe,7793,0.000424814672
0x0101,7793,0.000424814672
0x0104,7793,0.000424814672
0x0107,7791,0.000424705647
0x0109,7791,0.000424705647
0x010c,7791,0.000424705647
0x010f,7789,0.000424596622
0x0111,7789,0.000424596622
0x0114,7789,0.000424596622
0x0117,7787,0.000424487598
0x0119,7787,0.000424487598
0x011c,7787,0.000424487598
0x011f,7787,0.000424487598
0x0122,7211,0.000393088489
0x0125,7211,0.000393088489
0x0128,7211,0.000393088489
0x012b,7211,0.000393088489
0x012e,6859,0.000373900145
0x0131,6859,0.000373900145
0x0134,6859,0.000373900145
0x0137,6859,0.000373900145
0x013a,486,0.000026492998
