pc,count,frequency
0x0000,1,0.000000037432
0x0001,1,0.000000037432
0x0002,1,0.000000037432
0x0003,1,0.000000037432
0x0004,1,0.000000037432
0x0005,1,0.000000037432
0x0006,1,0.000000037432
0x0007,1,0.000000037432
0x0008,1,0.000000037432
0x000b,1,0.000000037432
0x000d,1,0.000000037432
0x000f,1,0.000000037432
0x0012,1,0.000000037432
0x0015,1,0.000000037432
0x0017,1,0.000000037432
0x001a,15325,0.000573651951
0x001d,15324,0.000573614518
0x0020,15324,0.000573614518
0x0021,15324,0.000573614518
0x0024,1997,0.000074752558
0x0027,1997,0.000074752558
0x002a,1997,0.000074752558
0x002d,13327,0.000498861961
0x002f,13327,0.000498861961
0x0031,13327,0.000498861961
0x0032,13327,0.000498861961
0x0034,13327,0.000498861961
0x0035,13327,0.000498861961
0x0038,13327,0.000498861961
0x0039,13327,0.000498861961
0x003c,13327,0.000498861961
0x003d,13327,0.000498861961
0x0040,7,0.000000262027
0x0043,7,0.000000262027
0x0046,13320,0.000498599934
0x0049,13320,0.000498599934
0x0050,1,0.000000037432
0x0052,1,0.000000037432
0x0054,1,0.000000037432
0x0056,1,0.000000037432
0x0058,1,0.000000037432
0x005a,1,0.000000037432
0x005c,1,0.000000037432
0x005f,1,0.000000037432
0x0061,1,0.000000037432
0x0063,1,0.000000037432
0x0066,1,0.000000037432
0x0068,1,0.000000037432
0x006a,1,0.000000037432
0x006b,2,0.000000074865
0x006e,2,0.000000074865
0x0070,6130,0.000229460780
0x0072,6130,0.000229460780
0x0073,6130,0.000229460780
0x0074,6130,0.000229460780
0x0077,2,0.000000074865
0x0078,864,0.000032341617
0x007b,864,0.000032341617
0x0080,2008748,0.075192313775
0x0082,2008748,0.075192313775
0x0083,2008748,0.075192313775
0x0085,2008747,0.075192276343
0x0088,30667,0.001147940253
0x0089,30667,0.001147940253
0x008b,30667,0.001147940253
0x008e,15356,0.000574812356
0x0090,15356,0.000574812356
0x0091,15356,0.000574812356
0x0094,15356,0.000574812356
0x0095,15356,0.000574812356
0x0096,15356,0.000574812356
0x0097,15356,0.000574812356
0x0098,15356,0.000574812356
0x009a,15356,0.000574812356
0x009d,15356,0.000574812356
0x009f,15356,0.000574812356
0x00a0,15356,0.000574812356
0x00a2,15356,0.000574812356
0x00a3,15356,0.000574812356
0x00a6,15356,0.000574812356
0x00a8,15356,0.000574812356
0x00ab,15356,0.000574812356
0x00ac,1,0.000000037432
0x00ae,1,0.000000037432
0x00af,1,0.000000037432
0x00b0,1,0.000000037432
0x00b2,1,0.000000037432
0x00b5,1,0.000000037432
0x00bb,27900,0.001044364726
0x00be,27900,0.001044364726
0x00bf,27900,0.001044364726
0x00c0,27900,0.001044364726
0x00c1,27900,0.001044364726
0x00c2,27900,0.001044364726
0x00c3,27900,0.001044364726
0x00c4,1812,0.000067827559
0x00c5,1812,0.000067827559
0x00c7,1812,0.000067827559
0x00c9,1812,0.000067827559
0x00ca,1812,0.000067827559
0x00cd,1812,0.000067827559
0x00ce,1812,0.000067827559
0x00cf,1812,0.000067827559
0x00d0,1812,0.000067827559
0x00d1,1812,0.000067827559
0x00d2,1812,0.000067827559
0x00d3,1812,0.000067827559
0x00d4,1812,0.000067827559
0x00d6,1812,0.000067827559
0x00d8,1812,0.000067827559
0x00d9,1812,0.000067827559
0x00dc,1812,0.000067827559
0x00dd,1812,0.000067827559
0x00de,1812,0.000067827559
0x00e1,618,0.000023133240
0x00e3,13320,0.000498599934
0x00e6,13320,0.000498599934
0x00e9,13320,0.000498599934
0x00ec,13320,0.000498599934
0x00ef,13320,0.000498599934
0x00f2,13316,0.000498450204
0x00f5,13316,0.000498450204
0x00f8,13316,0.000498450204
0x00fb,13316,0.000498450204
0x00fe,12442,0.000465734262
0x0101,12442,0.000465734262
0x0104,12442,0.000465734262
0x0107,12439,0.000465621965
0x0109,12439,0.000465621965
0x010c,12439,0.000465621965
0x010f,12436,0.000465509668
0x0111,12436,0.000465509668
0x0114,12436,0.000465509668
0x0117,12433,0.000465397370
0x0119,12433,0.000465397370
0x011c,12433,0.000465397370
0x011f,12433,0.000465397370
0x0122,11569,0.000433055753
0x0125,11569,0.000433055753
0x0128,11569,0.000433055753
0x012b,11569,0.000433055753
0x012e,11041,0.000413291431
0x0131,11041,0.000413291431
0x0134,11041,0.000413291431
0x0137,11041,0.000413291431
0x013a,729,0.000027288240
0x0140,16,0.000000598919
0x0143,16,0.000000598919
0x0146,16,0.000000598919
0x0149,16,0.000000598919
0x014c,16,0.000000598919
