pc,count,frequency
0x0000,1,0.000000019282
0x0001,1,0.000000019282
0x0002,1,0.000000019282
0x0003,1,0.000000019282
0x0004,1,0.000000019282
0x0005,1,0.000000019282
0x0006,1,0.000000019282
0x0007,1,0.000000019282
0x0008,1,0.000000019282
0x000b,1,0.000000019282
0x000d,1,0.000000019282
0x000f,1,0.000000019282
0x0012,1,0.000000019282
0x0015,1,0.000000019282
0x0017,1,0.000000019282
0x001a,29294,0.000564832772
0x001d,29293,0.000564813490
0x0020,29293,0.000564813490
0x0021,29293,0.000564813490
0x0024,12081,0.000232940012
0x0027,12081,0.000232940012
0x002a,12081,0.000232940012
0x002d,17212,0.000331873478
0x002f,17212,0.000331873478
0x0031,17212,0.000331873478
0x0032,17212,0.000331873478
0x0034,17212,0.000331873478
0x0035,17212,0.000331873478
0x0038,17212,0.000331873478
0x0039,17212,0.000331873478
0x003c,17212,0.000331873478
0x003d,17212,0.000331873478
0x0040,7,0.000000134971
0x0043,7,0.000000134971
0x0046,17205,0.000331738508
0x0049,17205,0.000331738508
0x0050,1,0.000000019282
0x0052,1,0.000000019282
0x0054,1,0.000000019282
0x0056,1,0.000000019282
0x0058,1,0.000000019282
0x005a,1,0.000000019282
0x005c,1,0.000000019282
0x005f,1,0.000000019282
0x0061,1,0.000000019282
0x0063,1,0.000000019282
0x0066,1,0.000000019282
0x0068,1,0.000000019282
0x006a,1,0.000000019282
0x006b,2,0.000000038563
0x006e,2,0.000000038563
0x0070,6130,0.000118195702
0x0072,6130,0.000118195702
0x0073,6130,0.000118195702
0x0074,6130,0.000118195702
0x0077,2,0.000000038563
0x0078,1152,0.000022212308
0x007b,1152,0.000022212308
0x0080,2750311,0.053030169520
0x0082,2750311,0.053030169520
0x0083,2750311,0.053030169520
0x0085,2750310,0.053030150239
0x0088,58641,0.001130687464
0x0089,58641,0.001130687464
0x008b,58641,0.001130687464
0x008e,29329,0.000565507625
0x0090,29329,0.000565507625
0x0091,29329,0.000565507625
0x0094,29329,0.000565507625
0x0095,29329,0.000565507625
0x0096,29329,0.000565507625
0x0097,29329,0.000565507625
0x0098,29329,0.000565507625
0x009a,29329,0.000565507625
0x009d,29329,0.000565507625
0x009f,29329,0.000565507625
0x00a0,29329,0.000565507625
0x00a2,29329,0.000565507625
0x00a3,29329,0.000565507625
0x00a6,29329,0.000565507625
0x00a8,29329,0.000565507625
0x00ab,29329,0.000565507625
0x00ac,1,0.000000019282
0x00ae,1,0.000000019282
0x00af,1,0.000000019282
0x00b0,1,0.000000019282
0x00b2,1,0.000000019282
0x00b5,1,0.000000019282
0x00bb,61282,0.001181609952
0x00be,61282,0.001181609952
0x00bf,61282,0.001181609952
0x00c0,61282,0.001181609952
0x00c1,61282,0.001181609952
0x00c2,61282,0.001181609952
0x00c3,61282,0.001181609952
0x00c4,2457,0.000047374688
0x00c5,2457,0.000047374688
0x00c7,2457,0.000047374688
0x00c9,2457,0.000047374688
0x00ca,2457,0.000047374688
0x00cd,2457,0.000047374688
0x00ce,2457,0.000047374688
0x00cf,2457,0.000047374688
0x00d0,2457,0.000047374688
0x00d1,2457,0.000047374688
0x00d2,2457,0.000047374688
0x00d3,2457,0.000047374688
0x00d4,2457,0.000047374688
0x00d6,2457,0.000047374688
0x00d8,2457,0.000047374688
0x00d9,2457,0.000047374688
0x00dc,2457,0.000047374688
0x00dd,2457,0.000047374688
0x00de,2457,0.000047374688
0x00e1,889,0.000017141269
0x00e3,17205,0.000331738508
0x00e6,17205,0.000331738508
0x00e9,17205,0.000331738508
0x00ec,17205,0.000331738508
0x00ef,17205,0.000331738508
0x00f2,17200,0.000331642100
