pc,count,frequency
0x0000,1,0.000000037544
0x0001,1,0.000000037544
0x0002,1,0.000000037544
0x0003,1,0.000000037544
0x0004,1,0.000000037544
0x0005,1,0.000000037544
0x0006,1,0.000000037544
0x0007,1,0.000000037544
0x0008,1,0.000000037544
0x000b,1,0.000000037544
0x000d,1,0.000000037544
0x000f,1,0.000000037544
0x0012,1,0.000000037544
0x0015,1,0.000000037544
0x0017,1,0.000000037544
0x001a,15304,0.000574579189
0x001d,15303,0.000574541644
0x0020,15303,0.000574541644
0x0021,15303,0.000574541644
0x0024,2128,0.000079894440
0x0027,2128,0.000079894440
0x002a,2128,0.000079894440
0x002d,13175,0.000494647204
0x002f,13175,0.000494647204
0x0031,13175,0.000494647204
0x0032,13175,0.000494647204
0x0034,13175,0.000494647204
0x0035,13175,0.000494647204
0x0038,13175,0.000494647204
0x0039,13175,0.000494647204
0x003c,13175,0.000494647204
0x003d,13175,0.000494647204
0x0040,7,0.000000262811
0x0043,7,0.000000262811
0x0046,13168,0.000494384393
0x0049,13168,0.000494384393
0x0050,1,0.000000037544
0x0052,1,0.000000037544
0x0054,1,0.000000037544
0x0056,1,0.000000037544
0x0058,1,0.000000037544
0x005a,1,0.000000037544
0x005c,1,0.000000037544
0x005f,1,0.000000037544
0x0061,1,0.000000037544
0x0063,1,0.000000037544
0x0066,1,0.000000037544
0x0068,1,0.000000037544
0x006a,1,0.000000037544
0x006b,2,0.000000075089
0x006e,2,0.000000075089
0x0070,6130,0.000230147048
0x0072,6130,0.000230147048
0x0073,6130,0.000230147048
0x0074,6130,0.000230147048
0x0077,2,0.000000075089
0x0078,864,0.000032438344
0x007b,864,0.000032438344
0x0080,2011468,0.075519318554
0x0082,2011468,0.075519318554
0x0083,2011468,0.075519318554
0x0085,2011468,0.075519318554
0x0088,30621,0.001149646454
0x0089,30621,0.001149646454
0x008b,30621,0.001149646454
0x008e,15335,0.000575743064
0x0090,15335,0.000575743064
0x0091,15335,0.000575743064
0x0094,15335,0.000575743064
0x0095,15335,0.000575743064
0x0096,15335,0.000575743064
0x0097,15335,0.000575743064
0x0098,15335,0.000575743064
0x009a,15335,0.000575743064
0x009d,15335,0.000575743064
0x009f,15335,0.000575743064
0x00a0,15335,0.000575743064
0x00a2,15335,0.000575743064
0x00a3,15335,0.000575743064
